item	director
1237	nm0000005
5147	nm0000005
7327	nm0000005
2068	nm0000005
7396	nm0000005
7820	nm0000005
4422	nm0000005
7939	nm0000005
7938	nm0000005
7941	nm0000005
7937	nm0000005
2131	nm0000005
34155	nm0000005
7936	nm0000005
7940	nm0000005
7577	nm0000005
7942	nm0000005
8405	nm0000005
7328	nm0000005
1251	nm0000019
8154	nm0000019
7234	nm0000019
7089	nm0000019
2351	nm0000019
8848	nm0000019
7067	nm0000019
4283	nm0000019
4282	nm0000019
904	nm0000033
1219	nm0000033
908	nm0000033
903	nm0000033
1333	nm0000033
2186	nm0000033
1086	nm0000033
930	nm0000033
928	nm0000033
933	nm0000033
2176	nm0000033
965	nm0000033
2183	nm0000033
2203	nm0000033
2208	nm0000033
931	nm0000033
2206	nm0000033
2202	nm0000033
2212	nm0000033
2184	nm0000033
2181	nm0000033
2178	nm0000033
929	nm0000033
2210	nm0000033
2221	nm0000033
2227	nm0000033
2204	nm0000033
2182	nm0000033
2180	nm0000033
2177	nm0000033
2205	nm0000033
2185	nm0000033
2187	nm0000033
3022	nm0000036
25750	nm0000036
25769	nm0000036
8609	nm0000036
25764	nm0000036
7074	nm0000036
3232	nm0000036
8275	nm0000036
899	nm0000037
3606	nm0000037
8999	nm0000037
6732	nm0000037
1258	nm0000040
1206	nm0000040
1222	nm0000040
750	nm0000040
924	nm0000040
2712	nm0000040
2728	nm0000040
1178	nm0000040
2729	nm0000040
2730	nm0000040
2726	nm0000040
2727	nm0000040
2019	nm0000041
5291	nm0000041
3030	nm0000041
1217	nm0000041
6669	nm0000041
7766	nm0000041
7925	nm0000041
2905	nm0000041
3091	nm0000041
7926	nm0000041
3470	nm0000041
5498	nm0000041
7924	nm0000041
26064	nm0000041
7919	nm0000041
8740	nm0000041
26222	nm0000041
6270	nm0000041
3066	nm0000041
4441	nm0000045
4444	nm0000045
1941	nm0000059
25901	nm0000059
7338	nm0000059
2731	nm0000076
6305	nm0000076
2732	nm0000076
7135	nm0000076
6271	nm0000076
7136	nm0000076
4840	nm0000076
26360	nm0000076
26170	nm0000076
4042	nm0000078
6394	nm0000078
923	nm0000080
1248	nm0000080
25940	nm0000080
5177	nm0000080
25927	nm0000080
6460	nm0000080
33072	nm0000080
30701	nm0000080
2848	nm0000080
26002	nm0000080
1230	nm0000095
41285	nm0000095
1244	nm0000095
86882	nm0000095
60950	nm0000095
1077	nm0000095
6993	nm0000095
2973	nm0000095
7934	nm0000095
2065	nm0000095
348	nm0000095
1078	nm0000095
52	nm0000095
3814	nm0000095
1701	nm0000095
492	nm0000095
2750	nm0000095
5339	nm0000095
7983	nm0000095
3129	nm0000095
3813	nm0000095
1057	nm0000095
57147	nm0000095
2356	nm0000095
32291	nm0000095
3812	nm0000095
1963	nm0000095
3618	nm0000095
4393	nm0000095
4409	nm0000095
46967	nm0000095
6750	nm0000095
103980	nm0000095
80864	nm0000095
2290	nm0000095
6100	nm0000095
4628	nm0000095
6584	nm0000095
4392	nm0000095
69604	nm0000095
4733	nm0000095
5348	nm0000095
95201	nm0000095
113225	nm0000095
1527	nm0000108
293	nm0000108
1249	nm0000108
1216	nm0000108
50162	nm0000108
3053	nm0000108
47725	nm0000108
111360	nm0000108
497	nm0000110
86332	nm0000110
1411	nm0000110
1224	nm0000110
3044	nm0000110
273	nm0000110
3045	nm0000110
55278	nm0000110
108188	nm0000110
1051	nm0000114
55205	nm0000114
8495	nm0000114
589	nm0000116
1240	nm0000116
1200	nm0000116
1721	nm0000116
72998	nm0000116
1127	nm0000116
380	nm0000116
2288	nm0000118
1982	nm0000118
1129	nm0000118
3699	nm0000118
3726	nm0000118
2517	nm0000118
1128	nm0000118
26603	nm0000118
3740	nm0000118
4553	nm0000118
407	nm0000118
26285	nm0000118
2328	nm0000118
4735	nm0000118
332	nm0000118
6734	nm0000118
849	nm0000118
3462	nm0000122
1281	nm0000122
3307	nm0000122
3629	nm0000122
3310	nm0000122
3632	nm0000122
3559	nm0000122
8511	nm0000122
3306	nm0000122
39292	nm0000123
89804	nm0000123
58839	nm0000123
108928	nm0000123
590	nm0000126
6617	nm0000126
1726	nm0000126
1407	nm0000127
1347	nm0000127
35957	nm0000127
4541	nm0000127
5569	nm0000127
50912	nm0000127
5588	nm0000127
1717	nm0000127
3273	nm0000127
366	nm0000127
7930	nm0000127
32011	nm0000127
86295	nm0000127
2996	nm0000127
428	nm0000134
49822	nm0000134
30707	nm0000142
64614	nm0000142
6870	nm0000142
1266	nm0000142
4855	nm0000142
50068	nm0000142
3508	nm0000142
105	nm0000142
48783	nm0000142
2921	nm0000142
1711	nm0000142
507	nm0000142
4803	nm0000142
6809	nm0000142
63062	nm0000142
3827	nm0000142
72733	nm0000142
6078	nm0000142
4479	nm0000142
2401	nm0000142
1459	nm0000142
2561	nm0000142
4957	nm0000142
33036	nm0000142
4947	nm0000142
6812	nm0000142
81512	nm0000142
5506	nm0000142
90719	nm0000142
2476	nm0000142
114662	nm0000142
4787	nm0000149
86852	nm0000149
57	nm0000149
94466	nm0000149
110	nm0000154
48304	nm0000154
7318	nm0000154
491	nm0000154
27002	nm0000158
7502	nm0000158
1042	nm0000158
87522	nm0000158
4995	nm0000165
150	nm0000165
33660	nm0000165
832	nm0000165
2407	nm0000165
64620	nm0000165
2100	nm0000165
3526	nm0000165
2518	nm0000165
2193	nm0000165
3107	nm0000165
3988	nm0000165
45447	nm0000165
